"STRUCTURE_Parent_SMILES ","STRUCTURE_InChI ","ActivityOutcome_CPDBAS_MultiCellCall ","STRUCTURE_Shown ","TestSubstance_ChemicalName ","ActivityScore_CPDBAS_Rat ","TD50_Hamster_mg mg","TD50_Rat_mmol mmol","ActivityOutcome_CPDBAS_SingleCellCall ","TD50_Rat_Note ","STRUCTURE_MolecularWeight ","TD50_Dog_mg mg","TargetSites_Mouse_BothSexes ","DSSTox_CID ","STRUCTURE_ChemicalName_IUPAC ","NTP_TechnicalReport ","TD50_Cynomolgus_mg mg","ActivityOutcome_CPDBAS_Rat ","ActivityOutcome_CPDBAS_Mutagenicity ","ActivityScore_CPDBAS_Mouse ","STRUCTURE_InChIKey ","ChemicalNote ","ActivityOutcome_CPDBAS_MultiCellCall_Details ","TestSubstance_CASRN ","DSSTox_RID ","TargetSites_Mouse_Male ","TD50_Dog_Primates_Note ","STRUCTURE_Formula ","TD50_Rat_mg mg","TestSubstance_Description ","ActivityScore_CPDBAS_Hamster ","Endpoint ","TargetSites_Cynomolgus ","STRUCTURE_TestedForm_DefinedOrganic ","StudyType ","Note_CPDBAS ","TargetSites_Rhesus ","DSSTox_FileID ","TD50_Mouse_mmol mmol","ActivityOutcome_CPDBAS_Dog_Primates ","ChemicalPage_URL ","TD50_Mouse_Note ","ActivityOutcome_CPDBAS_Hamster ","TD50_Mouse_mg mg","STRUCTURE_ChemicalType ","TargetSites_Rat_Male ","TargetSites_Hamster_Female ","TargetSites_Dog ","TargetSites_Mouse_Female ","TargetSites_Hamster_BothSexes ","STRUCTURE_SMILES ","ActivityOutcome_CPDBAS_Mouse ","TargetSites_Rat_BothSexes ","TargetSites_Hamster_Male ","TD50_Hamster_mmol mmol","TD50_Hamster_Note ","Species ","TargetSites_Rat_Female ","DSSTox_Generic_SID ","TD50_Rhesus_mg mg"
"NC1C=CC2=C(N=1)NC3=CC=CC=C23","InChI=1/C11H9N3/c12-10-6-5-8-7-3-1-2-4-9(7)13-11(8)14-10/h1-6H,(H3,12,13,14)/f/h13H,12H2","active","tested chemical","A-alpha-C",blank,blank,blank,"active","blank",183.2122039794922,blank,"blank",1.0,"9H-pyrido[2,3-b]indol-2-amine","blank",blank,"blank","active",35.0,"FJTNLJLPLJDTRM-DXMPFREMCP","blank","multisite active; multisex active","26148-68-5",20001.0,"liver; vascular system","blank","C11H9N3",blank,"single chemical compound",blank,"TD50; Tumor Target Sites","blank","parent","Carcinogenicity","blank","blank","1_CPDBAS_v5d",0.2720000147819519,"blank","http://potency.berkeley.edu/chempages/A-alpha-C.html","TD50 is harmonic mean of more than one positive test","blank",49.79999923706055,"defined organic","blank","blank","blank","liver; vascular system","blank","NC1C=CC2=C(N=1)NC3=CC=CC=C23","active","blank","blank",blank,"blank","mouse","blank",20001.0,blank
"O=S(NC1=O)(OC(C)=C1)=O","InChI=1/C4H5NO4S.K/c1-3-2-4(6)5-10(7,8)9-3;/h2H,1H3,(H,5,6);/q;+1/p-1/fC4H4NO4S.K/q-1;m","inactive","tested chemical","Acesulfame-K",,,,"inactive","",201.24220275878906,,"",10606.0,"potassium 6-methyl-4-oxo-4H-1,2,3-oxathiazin-3-ide 2,2-dioxide","",,"","",0.0,"WBZFUFAFFUEMEI-COHKJUPYCC","parent [33665-90-6]","multisex inactive","55589-62-3",40770.0,"no positive results","","C4H4KNO4S",,"single chemical compound",,"TD50; Tumor Target Sites","","salt K","Carcinogenicity","Mouse added v5a; chemical added v5a","","2_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACESULFAME-K.html","no positive results","",,"defined organic","","","","no positive results","","O=S([N-]C1=O)(OC(C)=C1)=O.[K+]","inactive","","",,"","mouse","",30606.0,
"CC=O","InChI=1/C2H4O/c1-2-3/h2H,1H3","active","tested chemical","Acetaldehyde",20.0,565.0,3.4700000286102295,"active","TD50 is harmonic mean of more than one positive test",44.0526008605957,,"",2.0,"acetaldehyde","",,"active","inactive",,"IKHGUXGNUITLKF-UHFFFAOYAB","","multisite active; multisex active; multispecies active","75-07-0",20002.0,"","","C2H4O",153.0,"single chemical compound",1.0,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","3_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACETALDEHYDE.html","","active",,"defined organic","nasal cavity","oral cavity","","","","CC=O","","","nasal cavity; oral cavity",12.800000190734863,"TD50 is harmonic mean of more than one positive test","rat; hamster","nasal cavity",39224.0,
"CC=NN(C)C=O","InChI=1/C4H8N2O/c1-3-5-6(2)4-7/h3-4H,1-2H3/b5-3+","active","tested chemical","Acetaldehyde methylformylhydrazone",,,,"active","",100.12000274658203,,"",3.0,"N'-[(1E)-ethylidene]-N-methylformic hydrazide","",,"","inactive",46.0,"IMAGWKUTFZRWSB-HWKANZROBR","","multisite active; multisex active","16568-02-8",20003.0,"lung; preputial gland","","C4H8N2O",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","4_CPDBAS_v5d",0.025100000202655792,"","http://potency.berkeley.edu/chempages/ACETALDEHYDE%20METHYLFORMYLHYDRAZONE.html","TD50 is harmonic mean of more than one positive test","",2.509999990463257,"defined organic","","","","clitoral gland; lung; stomach","","CC=NN(C)C=O","active","","",,"","mouse","",39225.0,
"CC=NO","InChI=1/C2H5NO/c1-2-3-4/h2,4H,1H3/b3-2+","","tested chemical","Acetaldoxime",0.0,,,"inactive","no positive results",59.06719970703125,,"",4.0,"(1E)-acetaldehyde oxime","",,"inactive","inactive",,"FZENGILVLUJGJX-NSCUHMNNBP","","","107-29-9",20004.0,"","","C2H5NO",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","5_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACETALDOXIME.html","","",,"defined organic","no positive results","","","","","CC=NO","","","",,"","rat","",20004.0,
"CC(=O)N","InChI=1/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)/f/h3H2","active","tested chemical","Acetamide",21.0,,3.049999952316284,"active","TD50 is harmonic mean of more than one positive test",59.06719970703125,,"",5.0,"acetamide","",,"active","inactive",9.0,"DLFVBJFMPXGRIB-ZZOWFUDICC","","multisite active; multisex active; multispecies active","60-35-5",20005.0,"hematopoietic system","","C2H5NO",180.0,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","6_CPDBAS_v5d",51.0,"","http://potency.berkeley.edu/chempages/ACETAMIDE.html","","",3010.0,"defined organic","liver","","","no positive results","","CC(=O)N","active","","",,"","rat; mouse","liver",20005.0,
"C1(=CC=C(C=C1)O)NC(C)=O","InChI=1/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)/f/h9H","active","tested chemical","Acetaminophen",20.0,,3.2699999809265137,"active","TD50 is harmonic mean of more than one positive test",151.16259765625,,"",6.0,"N-(4-hydroxyphenyl)acetamide","TR 394; final call in CPDB differs due to additional data",,"active","inactive",17.0,"RZVAJINKPMORJF-BGGKNDAXCW","","multisite active; multisex active; multispecies active","103-90-2",20006.0,"liver","","C8H9NO2",495.0,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","7_CPDBAS_v5d",10.699999809265137,"","http://potency.berkeley.edu/chempages/ACETAMINOPHEN.html","TD50 is harmonic mean of more than one positive test","",1620.0,"defined organic","liver; urinary bladder","","","liver","","C1(=CC=C(C=C1)O)NC(C)=O","active","","",,"","rat; mouse","liver; urinary bladder",20006.0,
"O=S(=O)(C1=CC=C(C=C1)C(=O)C)NC(=O)NC2CCCCC2","InChI=1/C15H20N2O4S/c1-11(18)12-7-9-14(10-8-12)22(20,21)17-15(19)16-13-5-3-2-4-6-13/h7-10,13H,2-6H2,1H3,(H2,16,17,19)/f/h16-17H","inactive","tested chemical","Acetohexamide",0.0,,,"inactive","no positive results",324.3952941894531,,"",7.0,"4-acetyl-N-[(cyclohexylamino)carbonyl]benzenesulfonamide","TR 050",,"inactive","inactive",0.0,"VGZSUPCWNCWDAN-XQMQJMAZCC","","multisex inactive; multispecies inactive","968-81-0",20007.0,"no positive results","","C15H20N2O4S",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","8_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACETOHEXAMIDE.html","no positive results","",,"defined organic","no positive results","","","no positive results","","O=S(=O)(C1=CC=C(C=C1)C(=O)C)NC(=O)NC2CCCCC2","inactive","","",,"","rat; mouse","no positive results",20007.0,
"C(/C)(C)=N\NC1=NC=C(S1)C2=CC=C(O2)[N+](=O)[O-]","InChI=1/C10H10N4O3S/c1-6(2)12-13-10-11-5-8(18-10)7-3-4-9(17-7)14(15)16/h3-5H,1-2H3,(H,11,13)/f/h13H","","tested chemical","Acetone[4-(5-nitro-2-furyl)-2-thiazolyl] hydrazone",43.0,,0.022700000554323196,"active","",266.27398681640625,,"",8.0,"propan-2-one [5-(5-nitrofuran-2-yl)-1,3-thiazol-2-yl]hydrazone","",,"active","",,"CUWVNOSSZYUJAE-NDKGDYFDCK","","","18523-69-8",20008.0,"","","C10H10N4O3S",6.050000190734863,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","9_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACETONE[4-(5-NITRO-2-FURYL)-2-THIAZOLYL]HYDRAZONE.html","","",,"defined organic","","","","","","C(/C)(C)=N\NC1=NC=C(S1)C2=CC=C(O2)[N+](=O)[O-]","","","",,"","rat","stomach",20008.0,
"CC#N","InChI=1/C2H3N/c1-2-3/h1H3","inactive","tested chemical","Acetonitrile ",0.0,,,"inactive","no positive results",41.05189895629883,,"",9.0,"acetonitrile","TR 447",,"inactive","inactive",0.0,"WEVYAHXRMPXWCK-UHFFFAOYAJ","","multisex inactive; multispecies inactive","75-05-8",20009.0,"no positive results","","C2H3N",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","10_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACETONITRILE.html","no positive results","",,"defined organic","no positive results","","","no positive results","","CC#N","inactive","","",,"","rat; mouse","no positive results",20009.0,
